OrderID,PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,PGD_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,TotNumberCycles,TotUsingFrozenEggs,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDCycle5,FshNDCycle6,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDCansRate5,FshNDCansRate6,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDEmbryosRate5,FshNDEmbryosRate6,FshNDImplant1,FshNDImplant2,FshNDImplant3,FshNDImplant4,FshNDImplant5,FshNDImplant6,FshNDeSETRate1,FshNDeSETRate2,FshNDeSETRate3,FshNDeSETRate4,FshNDeSETRate5,FshNDeSETRate6,FshNDHealthSnglLBRate1,FshNDHealthSnglLBRate2,FshNDHealthSnglLBRate3,FshNDHealthSnglLBRate4,FshNDHealthSnglLBRate5,FshNDHealthSnglLBRate6,FshNDSnglLBRate1,FshNDSnglLBRate2,FshNDSnglLBRate3,FshNDSnglLBRate4,FshNDSnglLBRate5,FshNDSnglLBRate6,FshNDTwinlLBRate1,FshNDTwinlLBRate2,FshNDTwinlLBRate3,FshNDTwinlLBRate4,FshNDTwinlLBRate5,FshNDTwinlLBRate6,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshNDLvBirthsRate5,FshNDLvBirthsRate6,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDPregRate5,FshNDPregRate6,FshNDTransfers1,FshNDTransfers2,FshNDTransfers3,FshNDTransfers4,FshNDTransfers5,FshNDTransfers6,FshNDHealthSnglLB_TransRate1,FshNDHealthSnglLB_TransRate2,FshNDHealthSnglLB_TransRate3,FshNDHealthSnglLB_TransRate4,FshNDHealthSnglLB_TransRate5,FshNDHealthSnglLB_TransRate6,FshNDSnglLB_TransRate1,FshNDSnglLB_TransRate2,FshNDSnglLB_TransRate3,FshNDSnglLB_TransRate4,FshNDSnglLB_TransRate5,FshNDSnglLB_TransRate6,FshNDTwinLB_TransRate1,FshNDTwinLB_TransRate2,FshNDTwinLB_TransRate3,FshNDTwinLB_TransRate4,FshNDTwinLB_TransRate5,FshNDTwinLB_TransRate6,FshNDLvBirths_TransRate1,FshNDLvBirths_TransRate2,FshNDLvBirths_TransRate3,FshNDLvBirths_TransRate4,FshNDLvBirths_TransRate5,FshNDLvBirths_TransRate6,FshNDTransPregRate1,FshNDTransPregRate2,FshNDTransPregRate3,FshNDTransPregRate4,FshNDTransPregRate5,FshNDTransPregRate6,ThwNDTotCycles1,ThwNDTotCycles2,ThwNDTotCycles3,ThwNDTotCycles4,ThwNDTotCycles5,ThwNDTotCycles6,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDTransfers5,ThwNDTransfers6,ThwNDEstTransPerRetrievRate1,ThwNDEstTransPerRetrievRate2,ThwNDEstTransPerRetrievRate3,ThwNDEstTransPerRetrievRate4,ThwNDEstTransPerRetrievRate5,ThwNDEstTransPerRetrievRate6,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,ThwNDEmbryosRate5,ThwNDEmbryosRate6,ThwNDImplant1,ThwNDImplant2,ThwNDImplant3,ThwNDImplant4,ThwNDImplant5,ThwNDImplant6,ThwNDHealthSnglLB_TransRate1,ThwNDHealthSnglLB_TransRate2,ThwNDHealthSnglLB_TransRate3,ThwNDHealthSnglLB_TransRate4,ThwNDHealthSnglLB_TransRate5,ThwNDHealthSnglLB_TransRate6,ThwNDSnglLB_TransRate1,ThwNDSnglLB_TransRate2,ThwNDSnglLB_TransRate3,ThwNDSnglLB_TransRate4,ThwNDSnglLB_TransRate5,ThwNDSnglLB_TransRate6,ThwNDTwinLB_TransRate1,ThwNDTwinLB_TransRate2,ThwNDTwinLB_TransRate3,ThwNDTwinLB_TransRate4,ThwNDTwinLB_TransRate5,ThwNDTwinLB_TransRate6,ThwNDLvBirths_TransRate1,ThwNDLvBirths_TransRate2,ThwNDLvBirths_TransRate3,ThwNDLvBirths_TransRate4,ThwNDLvBirths_TransRate5,ThwNDLvBirths_TransRate6,ThwNDTransPregRate1,ThwNDTransPregRate2,ThwNDTransPregRate3,ThwNDTransPregRate4,ThwNDTransPregRate5,ThwNDTransPregRate6,TotBankingCycles1,TotBankingCycles2,TotBankingCycles3,TotBankingCycles4,TotBankingCycles5,TotBankingCycles6,FshDnrTotCycles,ThwDnrTotCycles,FshDnrTransfers,ThwDnrTransfers,FshDnrEmbryosRate,ThwDnrEmbryosRate,FshDnrImplant,ThwDnrImplant,FshDnrHealthSnglLB_TransRate,ThwDnrHealthSnglLB_TransRate,FshDnrSnglLB_TransRate,ThwDnrSnglLB_TransRate,FshDnrTwinLB_TransRate,ThwDnrTwinLB_TransRate,FshDnrLvBirths_TransRate,ThwDnrLvBirths_TransRate,FshDnrTransPregRate,ThwDnrTransPregRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation,TotExcludedResearchCycles,state_code
410,COOPER INSTITUTE FOR ADVANCED REPRODUCTIVE MEDICINE,,HOUSTON,TEXAS,100%,63%,0%,2%,7%,41%,17%,25%,7%,25%,65%,12%,<1%,13%,54%,144,0,"C. James Chuong, MD",38,10,16,12,5,1,0.0,0 / 10,6 / 16,2 / 12,3 / 5,1 / 1,2.4,2.8,3.1,3.8,,,18.8,12.0,8.0,17.4,,,0.0,0 / 8,0 / 8,0 / 6,,,15.8,2 / 10,1 / 16,1 / 12,0 / 5,0 / 1,15.8,3 / 10,2 / 16,1 / 12,0 / 5,0 / 1,5.3,0 / 10,0 / 16,0 / 12,0 / 5,0 / 1,21.1,3 / 10,2 / 16,1 / 12,0 / 5,0 / 1,23.7,3 / 10,2 / 16,2 / 12,0 / 5,0 / 1,29,9,8,6,0,0,20.7,2 / 9,1 / 8,1 / 6,,,20.7,3 / 9,2 / 8,1 / 6,,,6.9,0 / 9,0 / 8,0 / 6,,,27.6,3 / 9,2 / 8,1 / 6,,,31.0,3 / 9,2 / 8,2 / 6,,,21,4,4,2,0,0,19,4,4,1,0,0,1.3,0.8,1.3,0.5,,0.0,3.1,2.0,2.5,3.0,,,18.2,0 / 8,3 / 10,0 / 3,,,1 / 19,0 / 4,1 / 4,0 / 1,,,1 / 19,0 / 4,1 / 4,0 / 1,,,3 / 19,0 / 4,1 / 4,0 / 1,,,5 / 19,0 / 4,2 / 4,0 / 1,,,6 / 19,0 / 4,2 / 4,0 / 1,,,0,0,2,2,0,2,14,11,12,7,2.5,2.9,20.0,25.0,2 / 12,1 / 7,2 / 12,1 / 7,2 / 12,2 / 7,4 / 12,3 / 7,4 / 12,3 / 7,Cooper Institute for Advanced Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,TX
411,FERTILITY SPECIALISTS OF HOUSTON,,HOUSTON,TEXAS,100%,85%,0%,0%,8%,16%,19%,49%,13%,4%,28%,19%,5%,19%,21%,"1,008",0,"George M. Grunert, MD",144,55,42,21,13,3,13.2,9.1,9.5,9.5,1 / 13,0 / 3,1.7,2.0,1.8,2.0,2.5,2.0,28.8,13.1,11.4,2 / 18,0 / 9,0 / 2,32.7,13.8,0 / 18,1 / 7,0 / 5,0 / 1,16.7,5.5,9.5,0.0,0 / 13,0 / 3,16.7,7.3,9.5,0.0,0 / 13,0 / 3,7.6,3.6,0.0,0.0,0 / 13,0 / 3,24.3,10.9,9.5,0.0,0 / 13,0 / 3,30.6,16.4,11.9,9.5,2 / 13,0 / 3,112,34,25,9,6,1,21.4,8.8,16.0,0 / 9,0 / 6,0 / 1,21.4,11.8,16.0,0 / 9,0 / 6,0 / 1,9.8,5.9,0.0,0 / 9,0 / 6,0 / 1,31.3,17.6,16.0,0 / 9,0 / 6,0 / 1,39.3,26.5,20.0,2 / 9,2 / 6,0 / 1,180,86,75,21,14,13,165,74,67,15,10,12,1.3,1.1,0.8,0.4,0.7,0.9,1.5,1.5,1.5,1.5,1.5,2.0,49.2,37.0,30.8,50.0,3 / 12,5.0,27.3,24.3,22.4,5 / 15,0 / 10,1 / 12,38.8,37.8,29.9,8 / 15,2 / 10,1 / 12,13.9,2.7,4.5,1 / 15,0 / 10,0 / 12,52.7,40.5,34.3,9 / 15,2 / 10,1 / 12,61.8,58.1,43.3,10 / 15,5 / 10,3 / 12,79,55,75,35,14,13,42,28,38,24,1.8,1.4,49.2,38.7,36.8,29.2,50.0,33.3,13.2,4.2,63.2,37.5,71.1,50.0,Fertility Specialists of Houston,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,TX
412,THE HEARD CLINIC,,HOUSTON,TEXAS,100%,80%,10%,10%,20%,8%,23%,0%,0%,0%,39%,23%,31%,8%,15%,18,0,"Michael Heard, MD",5,4,1,0,0,0,0 / 5,0 / 4,0 / 1,,,,1.8,2.0,2.0,,,,0 / 9,0 / 4,0 / 2,,,,0 / 4,0 / 2,0 / 1,,,,0 / 5,0 / 4,0 / 1,,,,0 / 5,0 / 4,0 / 1,,,,0 / 5,0 / 4,0 / 1,,,,0 / 5,0 / 4,0 / 1,,,,0 / 5,0 / 4,0 / 1,,,,5,2,1,0,0,0,0 / 5,0 / 2,0 / 1,,,,0 / 5,0 / 2,0 / 1,,,,0 / 5,0 / 2,0 / 1,,,,0 / 5,0 / 2,0 / 1,,,,0 / 5,0 / 2,0 / 1,,,,0,1,0,0,0,0,0,1,0,0,0,0,0.0,1.0,,,,,,2.0,,,,,,0 / 2,,,,,,0 / 1,,,,,,0 / 1,,,,,,0 / 1,,,,,,0 / 1,,,,,,0 / 1,,,,,4,1,0,0,0,0,2,0,2,0,1.5,,0 / 3,,0 / 2,,0 / 2,,0 / 2,,0 / 2,,0 / 2,,The Heard Clinic,Yes,Yes,Yes,Yes,Yes,No,Yes,8,TX
413,HOUSTON FERTILITY INSTITUTE,HOUSTON FERTILITY INSTITUTE,HOUSTON,TEXAS,>99%,93%,<1%,<1%,5%,14%,9%,43%,6%,9%,23%,14%,15%,17%,10%,"2,037",84,"Ghassan F. Haddad, MD",254,109,67,51,19,5,1.6,3.7,6.0,7.8,4 / 19,0 / 5,1.9,1.9,2.0,2.1,1.6,2.5,37.8,36.0,24.8,10.0,1 / 14,0 / 5,7.9,4.8,4.5,0.0,0 / 5,0 / 1,21.7,17.4,16.4,5.9,1 / 19,0 / 5,26.0,20.2,16.4,5.9,1 / 19,0 / 5,16.5,11.9,4.5,2.0,0 / 19,0 / 5,42.5,33.0,20.9,7.8,1 / 19,0 / 5,46.9,45.0,34.3,13.7,3 / 19,0 / 5,224,95,52,34,12,2,24.6,20.0,21.2,8.8,1 / 12,0 / 2,29.5,23.2,21.2,8.8,1 / 12,0 / 2,18.8,13.7,5.8,2.9,0 / 12,0 / 2,48.2,37.9,26.9,11.8,1 / 12,0 / 2,53.1,51.6,44.2,20.6,3 / 12,0 / 2,352,153,108,45,16,11,339,148,101,39,15,11,1.0,1.2,0.8,0.5,0.5,0.5,1.8,1.6,1.7,1.6,2.0,1.6,55.9,56.1,45.2,41.8,10.3,7 / 18,30.1,30.4,35.6,30.8,1 / 15,2 / 11,38.1,38.5,45.5,41.0,3 / 15,3 / 11,21.2,16.2,5.0,0.0,0 / 15,2 / 11,59.9,55.4,51.5,41.0,3 / 15,5 / 11,72.0,70.3,66.3,66.7,4 / 15,5 / 11,265,99,111,63,28,22,56,119,54,112,1.9,1.7,53.2,37.3,25.9,24.1,33.3,32.1,24.1,8.9,57.4,41.1,75.9,56.3,"Houston Fertility Institute, Houston Fertility Institute",Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,TX
414,HOUSTON INFERTILITY CLINIC,"SONJA KRISTIANSEN, MD",HOUSTON,TEXAS,100%,73%,0%,0%,13%,18%,<1%,26%,2%,2%,35%,17%,17%,4%,10%,133,0,"Sonja B. Kristiansen, MD",47,20,15,7,9,8,2.1,5.0,4 / 15,0 / 7,0 / 9,3 / 8,2.8,2.6,2.3,1.3,1.9,1.7,18.6,24.0,33.3,2 / 5,0 / 13,2 / 5,0.0,2 / 19,1 / 8,0 / 1,0 / 5,0 / 1,36.2,35.0,2 / 15,2 / 7,0 / 9,1 / 8,38.3,35.0,3 / 15,2 / 7,0 / 9,1 / 8,4.3,10.0,2 / 15,0 / 7,0 / 9,0 / 8,42.6,45.0,5 / 15,2 / 7,0 / 9,1 / 8,44.7,50.0,5 / 15,2 / 7,0 / 9,2 / 8,44,19,9,4,7,3,38.6,7 / 19,2 / 9,2 / 4,0 / 7,1 / 3,40.9,7 / 19,3 / 9,2 / 4,0 / 7,1 / 3,4.5,2 / 19,2 / 9,0 / 4,0 / 7,0 / 3,45.5,9 / 19,5 / 9,2 / 4,0 / 7,1 / 3,47.7,10 / 19,5 / 9,2 / 4,0 / 7,2 / 3,9,4,1,4,1,1,8,3,1,4,1,0,2.7,3.0,,2.0,,,2.1,2.0,2.0,1.8,2.0,,3 / 15,4 / 6,1 / 2,1 / 7,1 / 2,,2 / 8,2 / 3,0 / 1,1 / 4,1 / 1,,2 / 8,2 / 3,0 / 1,1 / 4,1 / 1,,0 / 8,1 / 3,0 / 1,0 / 4,0 / 1,,2 / 8,3 / 3,0 / 1,1 / 4,1 / 1,,4 / 8,3 / 3,1 / 1,1 / 4,1 / 1,,0,0,0,0,0,0,6,1,5,1,2.8,2.0,4 / 14,0 / 2,2 / 5,0 / 1,2 / 5,0 / 1,1 / 5,0 / 1,3 / 5,0 / 1,3 / 5,0 / 1,"Houston Infertility Clinic, Sonja Kristiansen, MD",Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,TX
415,HOUSTON IVF,,HOUSTON,TEXAS,100%,97%,0%,1%,0%,11%,12%,43%,6%,6%,20%,10%,14%,13%,8%,686,2,"Timothy N. Hickman, MD",157,101,68,30,10,6,0.0,2.0,5.9,3.3,0 / 10,1 / 6,2.0,2.2,2.7,3.2,2.7,2.4,43.7,35.8,19.3,13.5,11.1,0 / 12,4.5,0.0,0.0,0.0,0 / 9,0 / 3,26.8,19.8,19.1,13.3,1 / 10,0 / 6,29.9,26.7,23.5,16.7,1 / 10,0 / 6,22.3,16.8,5.9,6.7,1 / 10,0 / 6,53.5,45.5,30.9,23.3,2 / 10,0 / 6,59.2,52.5,38.2,33.3,2 / 10,0 / 6,157,96,62,29,10,5,26.8,20.8,21.0,13.8,1 / 10,0 / 5,29.9,28.1,25.8,17.2,1 / 10,0 / 5,22.3,17.7,6.5,6.9,1 / 10,0 / 5,53.5,47.9,33.9,24.1,2 / 10,0 / 5,59.2,55.2,41.9,34.5,2 / 10,0 / 5,85,49,30,8,0,1,82,46,30,8,0,1,1.3,1.4,1.2,0.7,0.0,,1.9,1.7,2.0,1.6,,1.0,34.0,33.3,31.6,3 / 13,,1 / 1,31.7,34.8,23.3,2 / 8,,1 / 1,35.4,43.5,30.0,2 / 8,,1 / 1,9.8,2.2,10.0,0 / 8,,0 / 1,45.1,45.7,43.3,2 / 8,,1 / 1,54.9,54.3,50.0,2 / 8,,1 / 1,36,23,22,9,1,0,28,20,28,20,2.0,1.9,61.8,36.8,25.0,10.0,32.1,20.0,39.3,25.0,71.4,45.0,75.0,45.0,Houston IVF,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,TX
416,IVFMD,,IRVING,TEXAS,100%,54%,0%,2%,<1%,25%,17%,33%,11%,3%,38%,8%,5%,16%,21%,518,3,"Sy Le, MD",126,34,38,7,1,2,1.6,2.9,2.6,0 / 7,0 / 1,0 / 2,1.8,2.0,2.0,2.1,3.0,1.5,50.3,30.2,28.1,0 / 13,,0 / 3,19.1,10.7,3.0,0 / 6,0 / 1,0 / 1,25.4,17.6,15.8,0 / 7,0 / 1,0 / 2,34.1,23.5,26.3,0 / 7,0 / 1,0 / 2,16.7,8.8,7.9,0 / 7,0 / 1,0 / 2,51.6,32.4,34.2,0 / 7,0 / 1,0 / 2,61.9,38.2,42.1,1 / 7,1 / 1,0 / 2,117,28,36,7,1,2,27.4,21.4,16.7,0 / 7,0 / 1,0 / 2,36.8,28.6,27.8,0 / 7,0 / 1,0 / 2,17.9,10.7,8.3,0 / 7,0 / 1,0 / 2,55.6,39.3,36.1,0 / 7,0 / 1,0 / 2,66.7,46.4,44.4,1 / 7,1 / 1,0 / 2,78,39,35,10,1,1,78,39,35,10,1,1,1.7,1.1,1.3,0.5,0.2,0.5,1.7,1.8,1.8,2.0,2.0,5.0,39.2,22.0,36.4,10.0,1 / 2,0 / 5,29.5,10.3,28.6,2 / 10,1 / 1,0 / 1,35.9,10.3,37.1,2 / 10,1 / 1,0 / 1,11.5,10.3,8.6,0 / 10,0 / 1,0 / 1,47.4,20.5,45.7,2 / 10,1 / 1,0 / 1,51.3,41.0,57.1,2 / 10,1 / 1,0 / 1,24,34,20,18,6,2,28,11,25,11,1.9,2.0,52.2,54.5,24.0,0 / 11,28.0,0 / 11,32.0,4 / 11,60.0,4 / 11,64.0,6 / 11,IVFMD,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,TX
417,CENTER FOR FERTILITY AND REPRODUCTIVE SURGERY,TEXAS TECH UNIVERSITY HEALTH SCIENCES CENTER,LUBBOCK,TEXAS,100%,78%,0%,5%,3%,14%,33%,22%,22%,5%,41%,19%,0%,21%,26%,64,0,"Jennifer L. Phy, DO",26,5,4,1,1,0,0.0,1 / 5,0 / 4,0 / 1,0 / 1,,2.0,2.5,2.0,3.0,,,40.4,2 / 10,1 / 6,0 / 3,,,11.5,0 / 4,0 / 2,0 / 1,,,26.9,0 / 5,1 / 4,0 / 1,0 / 1,,34.6,0 / 5,1 / 4,0 / 1,0 / 1,,15.4,0 / 5,0 / 4,0 / 1,0 / 1,,50.0,0 / 5,1 / 4,0 / 1,0 / 1,,61.5,2 / 5,1 / 4,0 / 1,0 / 1,,26,4,3,1,0,0,26.9,0 / 4,1 / 3,0 / 1,,,34.6,0 / 4,1 / 3,0 / 1,,,15.4,0 / 4,0 / 3,0 / 1,,,50.0,0 / 4,1 / 3,0 / 1,,,61.5,2 / 4,1 / 3,0 / 1,,,12,3,3,1,0,0,9,2,3,0,0,0,1.3,,3.0,,,,1.9,3.0,2.0,,,,9 / 17,0 / 6,1 / 6,,,,2 / 9,0 / 2,1 / 3,,,,3 / 9,0 / 2,1 / 3,,,,1 / 9,0 / 2,0 / 3,,,,5 / 9,0 / 2,1 / 3,,,,6 / 9,0 / 2,1 / 3,,,,5,0,1,0,0,0,0,2,0,2,,1.5,,0 / 3,,0 / 2,,0 / 2,,0 / 2,,0 / 2,,0 / 2,"Center for Fertility and Reproductive Surgery, Texas Tech University Health Sciences Center",Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,TX
418,THE CENTRE FOR REPRODUCTIVE MEDICINE,,LUBBOCK,TEXAS,100%,24%,0%,7%,8%,23%,25%,28%,36%,13%,40%,40%,0%,41%,35%,154,1,"Janelle O. Dorsett, MD",40,6,10,5,1,0,10.0,0 / 6,1 / 10,1 / 5,0 / 1,,1.9,1.8,1.9,1.5,1.0,,40.0,6 / 9,4 / 13,0 / 3,0 / 1,,0 / 14,0 / 4,0 / 5,0 / 1,,,12.5,1 / 6,1 / 10,0 / 5,0 / 1,,12.5,1 / 6,1 / 10,0 / 5,0 / 1,,7.5,0 / 6,1 / 10,0 / 5,0 / 1,,20.0,2 / 6,2 / 10,0 / 5,0 / 1,,20.0,3 / 6,3 / 10,0 / 5,0 / 1,,16,5,7,2,1,0,5 / 16,1 / 5,1 / 7,0 / 2,0 / 1,,5 / 16,1 / 5,1 / 7,0 / 2,0 / 1,,3 / 16,0 / 5,1 / 7,0 / 2,0 / 1,,8 / 16,2 / 5,2 / 7,0 / 2,0 / 1,,8 / 16,3 / 5,3 / 7,0 / 2,0 / 1,,32,3,5,2,0,0,32,3,3,2,0,0,0.7,0.6,0.6,0.5,,,1.8,2.0,2.0,1.0,,,44.6,1 / 6,5 / 6,1 / 2,,,21.9,1 / 3,1 / 3,1 / 2,,,28.1,1 / 3,1 / 3,1 / 2,,,21.9,0 / 3,0 / 3,0 / 2,,,50.0,1 / 3,2 / 3,1 / 2,,,53.1,1 / 3,3 / 3,1 / 2,,,27,4,5,1,0,0,7,5,5,4,2.0,2.0,8 / 10,5 / 8,0 / 5,1 / 4,0 / 5,2 / 4,4 / 5,1 / 4,4 / 5,3 / 4,4 / 5,4 / 4,The Centre for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,TX
419,REPRODUCTIVE INSTITUTE OF SOUTH TEXAS,,MCALLEN,TEXAS,100%,93%,0%,3%,4%,38%,24%,20%,4%,29%,50%,41%,3%,27%,34%,154,0,"Esteban O. Brown, MD",65,23,18,7,0,0,4.6,4.3,1 / 18,1 / 7,,,2.1,2.2,2.1,2.5,,,33.3,20.0,15.4,1 / 11,,,0.0,1 / 19,0 / 11,0 / 5,,,10.8,17.4,2 / 18,1 / 7,,,13.8,21.7,2 / 18,1 / 7,,,20.0,4.3,0 / 18,0 / 7,,,33.8,26.1,2 / 18,1 / 7,,,33.8,34.8,4 / 18,1 / 7,,,55,19,14,6,0,0,12.7,4 / 19,2 / 14,1 / 6,,,16.4,5 / 19,2 / 14,1 / 6,,,23.6,1 / 19,0 / 14,0 / 6,,,40.0,6 / 19,2 / 14,1 / 6,,,40.0,8 / 19,4 / 14,1 / 6,,,13,5,2,3,1,5,13,5,2,3,1,5,0.9,1.7,,,,,2.2,1.6,2.0,2.3,2.0,1.8,41.7,0 / 4,3 / 4,1 / 4,0 / 2,3 / 9,3 / 13,0 / 5,1 / 2,1 / 3,0 / 1,1 / 5,4 / 13,0 / 5,1 / 2,1 / 3,0 / 1,3 / 5,3 / 13,0 / 5,1 / 2,0 / 3,0 / 1,0 / 5,7 / 13,0 / 5,2 / 2,1 / 3,0 / 1,3 / 5,7 / 13,1 / 5,2 / 2,1 / 3,0 / 1,3 / 5,0,0,0,0,0,0,12,0,12,0,2.0,,7 / 15,,3 / 12,,3 / 12,,2 / 12,,5 / 12,,5 / 12,,Reproductive Institute of South Texas,Yes,No,Yes,Yes,Yes,No,Yes,0,TX
420,PRESBYTERIAN HOSPITAL PLANO ARTS,,PLANO,TEXAS,100%,35%,0%,0%,0%,11%,49%,23%,19%,36%,34%,37%,1%,40%,33%,202,0,"Alfred J. Rodriguez, MD",38,26,15,12,3,0,0.0,15.4,1 / 15,1 / 12,1 / 3,,2.0,2.3,3.1,3.4,3.0,,40.0,9.1,9.3,7.4,0 / 6,,9.1,1 / 17,0 / 14,0 / 7,0 / 1,,15.8,3.8,1 / 15,0 / 12,0 / 3,,15.8,7.7,2 / 15,0 / 12,0 / 3,,18.4,3.8,0 / 15,0 / 12,0 / 3,,34.2,11.5,2 / 15,0 / 12,0 / 3,,42.1,11.5,4 / 15,1 / 12,0 / 3,,33,19,14,8,2,0,18.2,1 / 19,1 / 14,0 / 8,0 / 2,,18.2,2 / 19,2 / 14,0 / 8,0 / 2,,21.2,1 / 19,0 / 14,0 / 8,0 / 2,,39.4,3 / 19,2 / 14,0 / 8,0 / 2,,48.5,3 / 19,4 / 14,1 / 8,0 / 2,,23,4,4,1,1,2,22,4,4,1,1,2,0.8,0.3,0.4,0.1,0.5,,1.8,1.8,2.0,2.0,2.0,1.0,37.8,4 / 6,3 / 8,,1 / 2,0 / 2,36.4,1 / 4,1 / 4,0 / 1,0 / 1,0 / 2,40.9,1 / 4,1 / 4,0 / 1,0 / 1,0 / 2,4.5,1 / 4,1 / 4,0 / 1,0 / 1,0 / 2,45.5,2 / 4,2 / 4,0 / 1,0 / 1,0 / 2,59.1,4 / 4,2 / 4,1 / 1,1 / 1,0 / 2,21,14,8,12,2,0,15,1,14,1,2.1,2.0,55.2,1 / 2,6 / 14,0 / 1,6 / 14,1 / 1,2 / 14,0 / 1,9 / 14,1 / 1,10 / 14,1 / 1,Presbyterian Hospital Plano ARTS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,TX
421,FERTILITY CENTER OF SAN ANTONIO,,SAN ANTONIO,TEXAS,100%,74%,0%,1%,10%,25%,18%,20%,12%,7%,37%,9%,12%,16%,18%,543,1,"Joseph E. Martin, MD",154,61,65,29,13,7,3.2,13.1,3.1,6.9,2 / 13,2 / 7,1.9,1.9,2.2,2.5,2.1,1.8,48.0,25.9,20.5,17.0,2 / 15,1 / 7,3.0,9.3,2.0,0.0,1 / 6,0 / 3,31.8,13.1,24.6,10.3,2 / 13,0 / 7,37.0,16.4,24.6,17.2,2 / 13,1 / 7,15.6,6.6,4.6,0.0,0 / 13,0 / 7,52.6,23.0,29.2,17.2,2 / 13,1 / 7,61.0,31.1,30.8,24.1,2 / 13,1 / 7,139,47,57,22,7,4,35.3,17.0,28.1,13.6,2 / 7,0 / 4,41.0,21.3,28.1,22.7,2 / 7,1 / 4,17.3,8.5,5.3,0.0,0 / 7,0 / 4,58.3,29.8,33.3,22.7,2 / 7,1 / 4,67.6,40.4,35.1,31.8,2 / 7,1 / 4,70,39,30,12,2,3,70,39,28,12,2,3,2.5,2.2,2.3,4.0,2.0,3.0,1.8,1.7,1.5,1.8,1.5,1.7,37.9,37.5,36.6,2 / 18,0 / 3,2 / 5,28.6,17.9,21.4,1 / 12,0 / 2,2 / 3,37.1,28.2,28.6,2 / 12,0 / 2,2 / 3,10.0,12.8,7.1,0 / 12,0 / 2,0 / 3,47.1,41.0,35.7,2 / 12,0 / 2,2 / 3,54.3,48.7,50.0,3 / 12,0 / 2,2 / 3,4,3,2,0,0,1,36,11,35,10,2.0,1.8,42.0,5 / 16,42.9,3 / 10,48.6,5 / 10,11.4,0 / 10,60.0,5 / 10,62.9,6 / 10,Fertility Center of San Antonio,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,TX
422,"FERTILITY INSTITUTE OF TEXAS, PLLC",,SAN ANTONIO,TEXAS,100%,100%,0%,0%,50%,22%,0%,11%,0%,0%,56%,33%,22%,0%,44%,9,0,"Susan Hudson, MD",3,1,0,0,0,0,0 / 3,0 / 1,,,,,,,,,,,,,,,,,,,,,,,0 / 3,0 / 1,,,,,0 / 3,0 / 1,,,,,0 / 3,0 / 1,,,,,0 / 3,0 / 1,,,,,0 / 3,0 / 1,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,0,0,0,5,0,0,0,0,0,2.5,,,,,,1.0,,,,,,1 / 4,,,,,,1 / 5,,,,,,1 / 5,,,,,,0 / 5,,,,,,1 / 5,,,,,,2 / 5,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,"Fertility Institute of Texas, PLLC",Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,TX
